Date,Location,Time,Venue,eventType,id,composerName,conductorName,interval,movement,workTitle,soloistInstrument,soloistName,soloistRoles,season,programID,orchestra
1842-12-07T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,38e072a7-8fc9-4f9a-8eac-3957905c0002,"Beethoven,  Ludwig  van","Hill, Ureli Corelli",,,"SYMPHONY NO. 5 IN C MINOR, OP.67",Soprano,"Otto, Antoinette",S,1842-43,3853.0,New York Philharmonic
1842-12-07T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,38e072a7-8fc9-4f9a-8eac-3957905c0002,"Beethoven,  Ludwig  van","Hill, Ureli Corelli",,,"SYMPHONY NO. 5 IN C MINOR, OP.67",Piano,"Scharfenberg, William",A,1842-43,3853.0,New York Philharmonic
1842-12-07T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,38e072a7-8fc9-4f9a-8eac-3957905c0002,"Beethoven,  Ludwig  van","Hill, Ureli Corelli",,,"SYMPHONY NO. 5 IN C MINOR, OP.67",Violin,"Hill, Ureli Corelli",A,1842-43,3853.0,New York Philharmonic
1842-12-07T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,38e072a7-8fc9-4f9a-8eac-3957905c0002,"Beethoven,  Ludwig  van","Hill, Ureli Corelli",,,"SYMPHONY NO. 5 IN C MINOR, OP.67",Viola,"Derwort, G. H.",A,1842-43,3853.0,New York Philharmonic
1842-12-07T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,38e072a7-8fc9-4f9a-8eac-3957905c0002,"Beethoven,  Ludwig  van","Hill, Ureli Corelli",,,"SYMPHONY NO. 5 IN C MINOR, OP.67",Cello,"Boucher, Alfred",A,1842-43,3853.0,New York Philharmonic
1842-12-07T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,38e072a7-8fc9-4f9a-8eac-3957905c0002,"Beethoven,  Ludwig  van","Hill, Ureli Corelli",,,"SYMPHONY NO. 5 IN C MINOR, OP.67",Contrabass,"Rosier, F. W.",A,1842-43,3853.0,New York Philharmonic
1842-12-07T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,38e072a7-8fc9-4f9a-8eac-3957905c0002,"Beethoven,  Ludwig  van","Hill, Ureli Corelli",,,"SYMPHONY NO. 5 IN C MINOR, OP.67",Soprano,"Otto, Antoinette",S,1842-43,3853.0,New York Philharmonic
1842-12-07T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,38e072a7-8fc9-4f9a-8eac-3957905c0002,"Beethoven,  Ludwig  van","Hill, Ureli Corelli",,,"SYMPHONY NO. 5 IN C MINOR, OP.67",Tenor,"Horn, Charles Edward",S,1842-43,3853.0,New York Philharmonic
1842-12-07T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,38e072a7-8fc9-4f9a-8eac-3957905c0002,"Beethoven,  Ludwig  van","Hill, Ureli Corelli",,,"SYMPHONY NO. 5 IN C MINOR, OP.67",Tenor,"Horn, Charles Edward",S,1842-43,3853.0,New York Philharmonic
1842-12-07T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,38e072a7-8fc9-4f9a-8eac-3957905c0002,"Beethoven,  Ludwig  van","Hill, Ureli Corelli",,,"SYMPHONY NO. 5 IN C MINOR, OP.67",Soprano,"Otto, Antoinette",S,1842-43,3853.0,New York Philharmonic
1842-12-07T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,38e072a7-8fc9-4f9a-8eac-3957905c0002,"Weber,  Carl  Maria Von","Timm, Henry C.",,"""Ozean, du Ungeheuer"" (Ocean, thou mighty monster), Reiza (Scene and Aria), Act II",OBERON,Soprano,"Otto, Antoinette",S,1842-43,3853.0,New York Philharmonic
1842-12-07T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,38e072a7-8fc9-4f9a-8eac-3957905c0002,"Weber,  Carl  Maria Von","Timm, Henry C.",,"""Ozean, du Ungeheuer"" (Ocean, thou mighty monster), Reiza (Scene and Aria), Act II",OBERON,Piano,"Scharfenberg, William",A,1842-43,3853.0,New York Philharmonic
1842-12-07T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,38e072a7-8fc9-4f9a-8eac-3957905c0002,"Weber,  Carl  Maria Von","Timm, Henry C.",,"""Ozean, du Ungeheuer"" (Ocean, thou mighty monster), Reiza (Scene and Aria), Act II",OBERON,Violin,"Hill, Ureli Corelli",A,1842-43,3853.0,New York Philharmonic
1842-12-07T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,38e072a7-8fc9-4f9a-8eac-3957905c0002,"Weber,  Carl  Maria Von","Timm, Henry C.",,"""Ozean, du Ungeheuer"" (Ocean, thou mighty monster), Reiza (Scene and Aria), Act II",OBERON,Viola,"Derwort, G. H.",A,1842-43,3853.0,New York Philharmonic
1842-12-07T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,38e072a7-8fc9-4f9a-8eac-3957905c0002,"Weber,  Carl  Maria Von","Timm, Henry C.",,"""Ozean, du Ungeheuer"" (Ocean, thou mighty monster), Reiza (Scene and Aria), Act II",OBERON,Cello,"Boucher, Alfred",A,1842-43,3853.0,New York Philharmonic
1842-12-07T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,38e072a7-8fc9-4f9a-8eac-3957905c0002,"Weber,  Carl  Maria Von","Timm, Henry C.",,"""Ozean, du Ungeheuer"" (Ocean, thou mighty monster), Reiza (Scene and Aria), Act II",OBERON,Contrabass,"Rosier, F. W.",A,1842-43,3853.0,New York Philharmonic
1842-12-07T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,38e072a7-8fc9-4f9a-8eac-3957905c0002,"Weber,  Carl  Maria Von","Timm, Henry C.",,"""Ozean, du Ungeheuer"" (Ocean, thou mighty monster), Reiza (Scene and Aria), Act II",OBERON,Soprano,"Otto, Antoinette",S,1842-43,3853.0,New York Philharmonic
1842-12-07T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,38e072a7-8fc9-4f9a-8eac-3957905c0002,"Weber,  Carl  Maria Von","Timm, Henry C.",,"""Ozean, du Ungeheuer"" (Ocean, thou mighty monster), Reiza (Scene and Aria), Act II",OBERON,Tenor,"Horn, Charles Edward",S,1842-43,3853.0,New York Philharmonic
1842-12-07T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,38e072a7-8fc9-4f9a-8eac-3957905c0002,"Weber,  Carl  Maria Von","Timm, Henry C.",,"""Ozean, du Ungeheuer"" (Ocean, thou mighty monster), Reiza (Scene and Aria), Act II",OBERON,Tenor,"Horn, Charles Edward",S,1842-43,3853.0,New York Philharmonic
1842-12-07T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,38e072a7-8fc9-4f9a-8eac-3957905c0002,"Weber,  Carl  Maria Von","Timm, Henry C.",,"""Ozean, du Ungeheuer"" (Ocean, thou mighty monster), Reiza (Scene and Aria), Act II",OBERON,Soprano,"Otto, Antoinette",S,1842-43,3853.0,New York Philharmonic
1842-12-07T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,38e072a7-8fc9-4f9a-8eac-3957905c0002,"Hummel,  Johann",,,,"QUINTET, PIANO, D MINOR, OP. 74",Soprano,"Otto, Antoinette",S,1842-43,3853.0,New York Philharmonic
1842-12-07T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,38e072a7-8fc9-4f9a-8eac-3957905c0002,"Hummel,  Johann",,,,"QUINTET, PIANO, D MINOR, OP. 74",Piano,"Scharfenberg, William",A,1842-43,3853.0,New York Philharmonic
1842-12-07T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,38e072a7-8fc9-4f9a-8eac-3957905c0002,"Hummel,  Johann",,,,"QUINTET, PIANO, D MINOR, OP. 74",Violin,"Hill, Ureli Corelli",A,1842-43,3853.0,New York Philharmonic
1842-12-07T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,38e072a7-8fc9-4f9a-8eac-3957905c0002,"Hummel,  Johann",,,,"QUINTET, PIANO, D MINOR, OP. 74",Viola,"Derwort, G. H.",A,1842-43,3853.0,New York Philharmonic
1842-12-07T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,38e072a7-8fc9-4f9a-8eac-3957905c0002,"Hummel,  Johann",,,,"QUINTET, PIANO, D MINOR, OP. 74",Cello,"Boucher, Alfred",A,1842-43,3853.0,New York Philharmonic
1842-12-07T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,38e072a7-8fc9-4f9a-8eac-3957905c0002,"Hummel,  Johann",,,,"QUINTET, PIANO, D MINOR, OP. 74",Contrabass,"Rosier, F. W.",A,1842-43,3853.0,New York Philharmonic
1842-12-07T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,38e072a7-8fc9-4f9a-8eac-3957905c0002,"Hummel,  Johann",,,,"QUINTET, PIANO, D MINOR, OP. 74",Soprano,"Otto, Antoinette",S,1842-43,3853.0,New York Philharmonic
1842-12-07T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,38e072a7-8fc9-4f9a-8eac-3957905c0002,"Hummel,  Johann",,,,"QUINTET, PIANO, D MINOR, OP. 74",Tenor,"Horn, Charles Edward",S,1842-43,3853.0,New York Philharmonic
1842-12-07T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,38e072a7-8fc9-4f9a-8eac-3957905c0002,"Hummel,  Johann",,,,"QUINTET, PIANO, D MINOR, OP. 74",Tenor,"Horn, Charles Edward",S,1842-43,3853.0,New York Philharmonic
1842-12-07T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,38e072a7-8fc9-4f9a-8eac-3957905c0002,"Hummel,  Johann",,,,"QUINTET, PIANO, D MINOR, OP. 74",Soprano,"Otto, Antoinette",S,1842-43,3853.0,New York Philharmonic
1842-12-07T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,38e072a7-8fc9-4f9a-8eac-3957905c0002,,,Intermission,,,Soprano,"Otto, Antoinette",S,1842-43,3853.0,New York Philharmonic
1842-12-07T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,38e072a7-8fc9-4f9a-8eac-3957905c0002,,,Intermission,,,Piano,"Scharfenberg, William",A,1842-43,3853.0,New York Philharmonic
1842-12-07T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,38e072a7-8fc9-4f9a-8eac-3957905c0002,,,Intermission,,,Violin,"Hill, Ureli Corelli",A,1842-43,3853.0,New York Philharmonic
1842-12-07T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,38e072a7-8fc9-4f9a-8eac-3957905c0002,,,Intermission,,,Viola,"Derwort, G. H.",A,1842-43,3853.0,New York Philharmonic
1842-12-07T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,38e072a7-8fc9-4f9a-8eac-3957905c0002,,,Intermission,,,Cello,"Boucher, Alfred",A,1842-43,3853.0,New York Philharmonic
1842-12-07T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,38e072a7-8fc9-4f9a-8eac-3957905c0002,,,Intermission,,,Contrabass,"Rosier, F. W.",A,1842-43,3853.0,New York Philharmonic
1842-12-07T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,38e072a7-8fc9-4f9a-8eac-3957905c0002,,,Intermission,,,Soprano,"Otto, Antoinette",S,1842-43,3853.0,New York Philharmonic
1842-12-07T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,38e072a7-8fc9-4f9a-8eac-3957905c0002,,,Intermission,,,Tenor,"Horn, Charles Edward",S,1842-43,3853.0,New York Philharmonic
1842-12-07T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,38e072a7-8fc9-4f9a-8eac-3957905c0002,,,Intermission,,,Tenor,"Horn, Charles Edward",S,1842-43,3853.0,New York Philharmonic
1842-12-07T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,38e072a7-8fc9-4f9a-8eac-3957905c0002,,,Intermission,,,Soprano,"Otto, Antoinette",S,1842-43,3853.0,New York Philharmonic
1842-12-07T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,38e072a7-8fc9-4f9a-8eac-3957905c0002,"Weber,  Carl  Maria Von","Etienne, Denis G.",,Overture,OBERON,Soprano,"Otto, Antoinette",S,1842-43,3853.0,New York Philharmonic
1842-12-07T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,38e072a7-8fc9-4f9a-8eac-3957905c0002,"Weber,  Carl  Maria Von","Etienne, Denis G.",,Overture,OBERON,Piano,"Scharfenberg, William",A,1842-43,3853.0,New York Philharmonic
1842-12-07T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,38e072a7-8fc9-4f9a-8eac-3957905c0002,"Weber,  Carl  Maria Von","Etienne, Denis G.",,Overture,OBERON,Violin,"Hill, Ureli Corelli",A,1842-43,3853.0,New York Philharmonic
1842-12-07T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,38e072a7-8fc9-4f9a-8eac-3957905c0002,"Weber,  Carl  Maria Von","Etienne, Denis G.",,Overture,OBERON,Viola,"Derwort, G. H.",A,1842-43,3853.0,New York Philharmonic
